,Frame,prox,dist,prox_filtered,dist_filtered
0,0,0,0,-2.0,0.0
5,5,0,0,-0.0,0.0
10,10,1,0,2.0,0.0
15,15,9,0,4.0,0.0
20,20,4,0,6.0,0.0
25,25,6,0,8.0,0.0
30,30,12,0,9.0,0.0
35,35,6,0,10.0,0.0
40,40,12,0,10.0,0.0
45,45,12,0,11.0,0.0
50,50,12,0,13.0,0.0
55,55,13,0,15.0,0.0
60,60,15,0,15.0,0.0
65,65,15,0,16.0,0.0
70,70,13,0,16.0,0.0
75,75,15,0,14.0,0.0
80,80,12,0,13.0,0.0
85,85,12,0,13.0,0.0
90,90,12,0,12.0,0.0
95,95,12,0,12.0,0.0
100,100,13,0,12.0,0.0
105,105,13,0,13.0,0.0
110,110,12,0,13.0,0.0
115,115,15,0,14.0,0.0
120,120,12,0,14.0,0.0
125,125,14,0,14.0,0.0
130,130,15,0,14.0,0.0
135,135,17,0,14.0,0.0
140,140,13,0,13.0,0.0
145,145,13,0,13.0,0.0
150,150,13,0,12.0,0.0
155,155,13,0,11.0,0.0
160,160,9,0,11.0,0.0
165,165,11,0,11.0,0.0
170,170,8,2,10.0,0.0
175,175,13,0,10.0,0.0
180,180,12,0,10.0,0.0
185,185,12,0,11.0,0.0
190,190,13,0,11.0,0.0
195,195,11,0,12.0,0.0
200,200,9,0,13.0,0.0
205,205,14,0,14.0,0.0
210,210,15,0,16.0,0.0
215,215,19,0,17.0,0.0
220,220,17,0,17.0,0.0
225,225,18,0,17.0,0.0
230,230,16,0,17.0,0.0
235,235,14,0,17.0,0.0
240,240,15,0,17.0,0.0
245,245,16,0,18.0,0.0
250,250,20,0,18.0,0.0
255,255,20,0,19.0,0.0
260,260,19,0,19.0,0.0
265,265,18,0,19.0,0.0
270,270,19,0,19.0,0.0
275,275,19,0,19.0,0.0
280,280,18,0,19.0,0.0
285,285,18,0,19.0,0.0
290,290,19,0,19.0,0.0
295,295,21,0,20.0,0.0
300,300,18,0,20.0,0.0
305,305,21,0,19.0,0.0
310,310,17,0,19.0,0.0
315,315,18,0,19.0,0.0
320,320,19,0,19.0,0.0
325,325,18,0,19.0,0.0
330,330,18,0,19.0,0.0
335,335,20,0,18.0,0.0
340,340,15,0,18.0,0.0
345,345,15,0,18.0,0.0
350,350,18,0,18.0,0.0
355,355,19,0,18.0,0.0
360,360,20,0,19.0,0.0
365,365,19,0,19.0,0.0
370,370,19,0,19.0,0.0
375,375,18,0,19.0,0.0
380,380,19,0,19.0,0.0
385,385,21,0,20.0,0.0
390,390,18,0,20.0,0.0
395,395,21,0,21.0,0.0
400,400,22,0,21.0,0.0
