,Frame,prox,dist,prox_filtered,dist_filtered
0,0,0,0,0.0,0.0
1,1,0,0,0.0,0.0
2,2,0,0,0.0,0.0
3,3,0,0,0.0,0.0
4,4,0,0,0.0,0.0
5,5,0,0,0.0,0.0
6,6,0,0,0.0,0.0
7,7,0,0,0.0,0.0
8,8,0,0,0.0,0.0
9,9,0,0,0.0,0.0
10,10,0,0,0.0,0.0
11,11,0,0,0.0,0.0
12,12,0,0,0.0,0.0
13,13,0,0,0.0,0.0
14,14,0,0,0.0,0.0
15,15,0,0,0.0,0.0
16,16,0,0,0.0,0.0
17,17,0,0,0.0,0.0
18,18,0,0,0.0,0.0
19,19,0,0,0.0,0.0
20,20,0,0,0.0,0.0
21,21,0,0,0.0,0.0
22,22,0,0,0.0,0.0
23,23,0,0,0.0,0.0
24,24,0,0,0.0,0.0
25,25,0,0,0.0,0.0
26,26,0,0,0.0,0.0
27,27,0,0,0.0,0.0
28,28,0,0,0.0,0.0
29,29,0,0,0.0,0.0
30,30,0,0,0.0,0.0
31,31,0,0,0.0,0.0
32,32,0,0,0.0,0.0
33,33,0,0,0.0,0.0
34,34,0,0,0.0,0.0
35,35,0,0,0.0,0.0
36,36,0,0,0.0,0.0
37,37,0,0,1.0,0.0
38,38,0,0,1.0,0.0
39,39,0,0,1.0,0.0
40,40,0,0,1.0,0.0
41,41,0,0,2.0,0.0
42,42,0,0,2.0,0.0
43,43,1,0,3.0,0.0
44,44,2,0,3.0,0.0
45,45,3,1,4.0,0.0
46,46,4,0,4.0,0.0
47,47,2,1,4.0,0.0
48,48,0,0,5.0,0.0
49,49,4,0,5.0,0.0
50,50,4,0,6.0,0.0
51,51,9,0,6.0,0.0
52,52,7,0,7.0,0.0
53,53,13,0,7.0,0.0
54,54,12,0,8.0,0.0
55,55,9,0,8.0,0.0
56,56,9,0,9.0,0.0
57,57,9,0,9.0,0.0
58,58,10,0,9.0,0.0
59,59,11,0,9.0,0.0
60,60,12,0,10.0,0.0
61,61,9,0,10.0,0.0
62,62,12,0,10.0,0.0
63,63,12,0,11.0,0.0
64,64,10,0,11.0,0.0
65,65,13,0,11.0,0.0
66,66,12,0,11.0,0.0
67,67,13,0,11.0,0.0
68,68,13,0,11.0,0.0
69,69,12,0,11.0,0.0
70,70,10,0,11.0,0.0
71,71,10,0,11.0,0.0
72,72,8,0,11.0,0.0
73,73,12,0,11.0,0.0
74,74,9,0,11.0,0.0
75,75,12,0,11.0,0.0
76,76,12,0,11.0,0.0
77,77,12,0,11.0,0.0
78,78,6,0,11.0,0.0
79,79,12,0,11.0,0.0
80,80,12,0,10.0,0.0
81,81,10,0,10.0,0.0
82,82,10,0,10.0,0.0
83,83,11,0,10.0,0.0
84,84,9,0,10.0,0.0
85,85,11,0,10.0,0.0
86,86,9,0,10.0,0.0
